CTD-2054N24.2	BLOC1S6
CTD-2074D8.1	C5orf17
CTD-2083E4.6	AC069513.3
CTD-2196P11.2	CTD-2127H9.1
CTD-2240H23.2	CLMN
CTD-2284O10.1	C5orf42
CTD-2314B22.1	AC093838.7
CTD-2314B22.3	C2orf27A
CTD-2316B1.2	CTD-2316B1.1
CTD-2547E10.3	CRYM-AS1
CTD-3076O17.2	CTD-3076O17.1
CTNNBIP1	CLSTN1
CUL5	ACAT1
CXADRP3	CXADRP1
CYP17A1-AS1	CYP17A1
CYP1B1-AS1	AC009229.5
CYP4Z1	CYP4X1
DAZL	AC091493.2
DBF4B	ADAM11
DCTN4	C5orf62
DCUN1D2	ADPRHL1
DDT	AP000350.6
DECR1	CALB1
DENND2A	AIG1
DENND5B-AS1	DENND5B
DEXI	CIITA
DEXI	CLEC16A
DGUOK-AS1	DGUOK
DHCR24	C1orf177
DKKL1	CCDC155
DLX4	DLX3
DMC1	DDX17
DND1P1	ARL17B
DOCK8	C9orf66
DPP6	ACTR3B
DPP6	ACTR3C
DPY19L1	AVL9
DPY19L2P2	DPY19L2
DPY19L2P2	DPY19L2P1
DUS4L	BCAP29
DYNC2H1	DCUN1D5
DYNC2LI1	ABCG5
DZIP1	CLDN10
DZIP1L	CLDN18
ECHDC3	BCL7B
EDIL3	CTD-2269F5.1
EGLN2	CYP2F1
EGLN2	CYP2F1P
EHF	APIP
EIF3K	ACTN4
EIF4A2	AC004528.3
EIF4A2	AC004528.5
ELMO1	AOAH
ELMOD3	CAPG
EMP3	CTC-241F20.2
EMR3	C10orf68
ENTPD7	COX15
ENTPD7	CUTC
EPHB1	CEP63
EPM2A	AL356739.1
ERMN	CTD-2311M21.2
ERP27	C12orf60
ETFB	CLDND2
EXT2	ACCS
F8	CLIC2
FADS1	C11orf10
FAM105B	ANKH
FAM111B	FAM111A
FAM132A	B3GALT6
FAM157B	AC137934.1
FAM157B	AC138035.1
FAM157B	CTC-338M12.9
FAM157B	DDX11L9
FAM157C	AC137934.1
FAM157C	AC138035.1
FAM157C	AP006222.2
FAM157C	CTC-338M12.9
FAM173B	AC034229.1
FAM209A	C20orf43
FAM48A	AP3B1
FAM48A	CNOT2
FAM48A	DISP1
FAM66E	FAM66A
FAM83D	DHX35
FAM86DP	FAM86C1
FAM86EP	FAM86A
FAM89B	EHBP1L1
FAM90A15P	FAM66B
FAM90A17P	FAM66B
FAM90A1	FAM86FP
FAM90A20P	FAM66B
FAM90A2P	FAM66E
FAM90A3	FAM66B
FAM90A5P	FAM66B
FAM90A5P	FAM66E
FANCB	AC003658.1
FBXL13	FAM185A
FBXO17	CTC-360G5.1
FBXO25	C8orf42
FBXO25	CTD-3113P16.7
FBXO4	CTD-2156G10.2
FDFT1	CTSB
FGFR1OP	CCR6
FHL2	C2orf49
FIGLA	CLEC4F
FLVCR1-AS1	C1orf227
FN1	ATIC
FOXP1	EIF4E3
FRG1	FAM122C
FRMPD2	AGAP10
FRY	EEF1DP3
FSIP2	AC007966.1
FUNDC2P4	CBX7
FUT8	CTD-2509G16.5
FXYD3	AC020907.1
GABPB1-AS1	CTD-3110H11.1
GADD45GIP1	DAND5
GAS5	GABRB3
GBP2	GBP1
GBP7	GBP4
